tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
29520.00;E2J1_0;100.00;10.56;29447.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.318 emissions_flow_0.318;73.00;flow_0.318;0;632.42;0.82;0.00;16.95;car;;1;2.00;184953.147749;2743.945285;16.921329;74.050638;3.399839;0;59007.284622
29607.00;E2J1_0;100.00;12.00;29540.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.319 emissions_flow_0.319;67.00;flow_0.319;0;632.42;0.94;0.00;17.28;car;;1;2.00;190913.625287;2722.905542;16.909906;77.776051;3.664194;0;60908.900017
29696.00;E2J1_0;100.00;13.64;29632.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.320 emissions_flow_0.320;64.00;flow_0.320;0;632.42;1.01;0.00;17.48;car;;1;1.00;203119.033325;2673.627668;17.025045;83.210901;3.835915;0;64803.159290
29786.00;E2J1_0;100.00;12.12;29725.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.321 emissions_flow_0.321;61.00;flow_0.321;0;632.42;0.93;0.00;10.96;car;;0;0.00;163538.285281;1960.208968;12.907608;66.792302;2.965313;0;52175.553818
29878.00;E2J1_0;100.00;12.34;29818.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.322 emissions_flow_0.322;60.00;flow_0.322;0;632.42;0.95;0.00;10.40;car;;0;0.00;166578.940533;1884.038181;12.474950;66.530674;2.844705;0;53146.339615
29967.00;E2J1_0;100.00;12.80;29910.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.323 emissions_flow_0.323;57.00;flow_0.323;0;632.42;1.00;0.00;11.20;car;;0;0.00;167634.685294;1918.764658;12.657796;67.387483;2.939062;0;53483.109722
30066.00;E2J1_0;100.00;11.32;30003.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.324 emissions_flow_0.324;63.00;flow_0.324;0;632.42;0.90;0.00;10.88;car;;0;0.00;162593.315933;1887.116281;12.456467;64.752344;2.752805;0;51874.606245
30155.00;E2J1_0;100.00;12.26;30095.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.325 emissions_flow_0.325;60.00;flow_0.325;0;632.42;0.96;0.00;11.77;car;;0;0.00;160554.748327;1872.820248;12.328342;64.123728;2.777499;0;51224.249734
30246.00;E2J1_0;100.00;13.69;30188.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.326 emissions_flow_0.326;58.00;flow_0.326;0;632.42;1.02;0.00;11.69;car;;0;0.00;175081.093207;2114.522465;13.969032;71.568168;3.204898;0;55858.197422
30337.00;E2J1_0;100.00;13.71;30281.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.327 emissions_flow_0.327;56.00;flow_0.327;0;632.42;1.01;0.00;10.18;car;;0;0.00;170068.259046;1901.767545;12.707292;69.037376;3.004185;0;54259.352496
30435.00;E2J1_0;100.00;11.99;30373.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.328 emissions_flow_0.328;62.00;flow_0.328;0;632.42;0.93;0.00;11.92;car;;0;0.00;171416.429223;2073.045038;13.568681;69.749111;3.096626;0;54689.059060
30521.00;E2J1_0;100.00;13.05;30466.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.329 emissions_flow_0.329;55.00;flow_0.329;0;632.42;1.18;0.00;9.47;car;;0;0.00;163082.084079;1770.182284;11.974299;65.661753;2.815622;0;52030.690233
30621.00;E2J1_0;100.00;12.21;30558.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.330 emissions_flow_0.330;63.00;flow_0.330;0;632.42;0.89;0.00;10.86;car;;0;0.00;171124.638636;2081.618762;13.660078;69.776916;3.088798;0;54595.838406
30708.00;E2J1_0;100.00;13.72;30651.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.331 emissions_flow_0.331;57.00;flow_0.331;0;632.42;1.16;0.00;10.14;car;;0;0.00;164390.541495;1773.109730;12.003602;65.991006;2.802713;0;52448.215958
30866.00;E2J1_0;100.00;13.33;30744.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.332 emissions_flow_0.332;122.00;flow_0.332;0;632.42;1.02;0.00;75.67;car;;1;58.00;332233.826523;9173.786958;49.360358;137.126441;8.790846;0;105989.088692
30957.00;E2J1_0;100.00;13.09;30836.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.333 emissions_flow_0.333;121.00;flow_0.333;0;632.42;0.96;0.00;72.15;car;;1;56.00;325627.937745;8983.514947;48.226282;134.122492;8.592463;0;103881.789843
31046.00;E2J1_0;100.00;13.18;30929.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.334 emissions_flow_0.334;117.00;flow_0.334;0;632.42;1.17;0.00;70.64;car;;1;54.00;316560.364525;8538.320352;46.141141;130.372815;8.245359;0;100989.291441
31136.00;E2J1_0;100.00;13.65;31021.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.335 emissions_flow_0.335;115.00;flow_0.335;0;632.42;1.11;0.00;68.64;car;;1;53.00;313106.109315;8442.499310;45.570257;129.113198;8.188609;0;99887.319368
31229.00;E2J1_0;100.00;10.88;31114.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.336 emissions_flow_0.336;115.00;flow_0.336;0;632.42;0.86;0.00;61.23;car;;1;45.00;293395.337719;7577.374950;41.248730;119.821844;7.326131;0;93599.750883
31316.00;E2J1_0;100.00;13.85;31207.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.337 emissions_flow_0.337;109.00;flow_0.337;0;632.42;1.00;0.00;62.67;car;;1;45.00;301942.084761;7553.314124;41.285105;123.365977;7.485160;0;96326.911338
31406.00;E2J1_0;100.00;13.09;31299.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.338 emissions_flow_0.338;107.00;flow_0.338;0;632.42;0.95;0.00;58.88;car;;1;45.00;293266.176322;7457.904493;40.583490;119.943183;7.344523;0;93558.855264
31496.00;E2J1_0;100.00;13.51;31392.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.339 emissions_flow_0.339;104.00;flow_0.339;0;632.42;0.98;0.00;56.21;car;;1;39.00;284007.793158;6919.375641;37.922989;116.449922;6.963882;0;90605.541641
31587.00;E2J1_0;100.00;12.66;31484.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.340 emissions_flow_0.340;103.00;flow_0.340;0;632.42;0.94;0.00;53.02;car;;1;36.00;275523.622017;6500.289453;35.970854;112.647666;6.605728;0;87899.165110
31675.00;E2J1_0;100.00;13.44;31577.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.341 emissions_flow_0.341;98.00;flow_0.341;0;632.42;1.11;0.00;52.40;car;;1;36.00;280631.106178;6582.119414;36.468741;115.887622;6.847871;0;89528.407524
31771.00;E2J1_0;100.00;11.03;31670.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.342 emissions_flow_0.342;101.00;flow_0.342;0;632.42;0.82;0.00;44.27;car;;1;29.00;242167.019696;5689.723310;31.504698;98.073602;5.650898;0;77257.656830
31856.00;E2J1_0;100.00;12.79;31762.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.343 emissions_flow_0.343;94.00;flow_0.343;0;632.42;1.13;0.00;47.76;car;;1;32.00;272052.289237;6178.486520;34.477408;112.402335;6.557265;0;86791.820422
31949.00;E2J1_0;100.00;12.10;31855.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.344 emissions_flow_0.344;94.00;flow_0.344;0;632.42;0.90;0.00;42.45;car;;1;27.00;245858.679991;5476.180077;30.699536;100.949372;5.750229;0;78435.511028
32036.00;E2J1_0;100.00;13.82;31947.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.345 emissions_flow_0.345;89.00;flow_0.345;0;632.42;1.02;0.00;42.13;car;;1;24.00;254790.190383;5440.101085;30.713411;104.810572;5.894411;0;81285.327142
32131.00;E2J1_0;100.00;10.68;32040.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.346 emissions_flow_0.346;91.00;flow_0.346;0;632.42;0.82;0.00;34.16;car;;1;18.00;219094.811814;4521.464083;25.710780;88.425262;4.748916;0;69897.917242
32217.00;E2J1_0;100.00;12.35;32133.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.347 emissions_flow_0.347;84.00;flow_0.347;0;632.42;0.97;0.00;35.41;car;;1;21.00;238255.889860;4636.695663;26.675536;96.854077;5.180947;0;76011.353898
32305.00;E2J1_0;100.00;13.89;32225.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.348 emissions_flow_0.348;80.00;flow_0.348;0;632.42;1.03;0.00;34.11;car;;1;19.00;240865.229890;4666.594666;26.944844;100.117871;5.445253;0;76843.235469
32397.00;E2J1_0;100.00;13.18;32318.00;0.60;A2A3_0;4.60;0.00;tripinfo_flow_0.349 emissions_flow_0.349;79.00;flow_0.349;0;632.42;0.98;0.00;30.73;car;;1;15.00;231830.310463;4162.451077;24.445476;94.762897;4.917566;0;73961.708038
32486.00;E2J1_0;100.00;13.89;32410.00;0.00;A2A3_0;4.60;0.00;tripinfo_flow_0.350 emissions_flow_0.350;76.00;flow_0.350;0;632.42;1.03;0.00;29.01;car;;1;12.00;223102.253697;3906.047908;23.070337;92.168721;4.788368;0;71177.061658
32576.00;E2J1_0;100.00;12.63;32503.00;0.40;A2A3_0;4.60;0.00;tripinfo_flow_0.351 emissions_flow_0.351;73.00;flow_0.351;0;632.42;0.96;0.00;25.24;car;;1;8.00;211600.009780;3465.455501;20.764673;86.111944;4.283573;0;67508.124065
32667.00;E2J1_0;100.00;12.68;32596.00;0.80;A2A3_0;4.60;0.00;tripinfo_flow_0.352 emissions_flow_0.352;71.00;flow_0.352;0;632.42;0.95;0.00;22.62;car;;1;7.00;206452.694948;3279.520507;19.887057;84.682886;4.164598;0;65865.810748
32756.00;E2J1_0;100.00;13.08;32688.00;0.20;A2A3_0;4.60;0.00;tripinfo_flow_0.353 emissions_flow_0.353;68.00;flow_0.353;0;632.42;1.08;0.00;22.11;car;;1;7.00;205930.282687;3064.457968;18.733797;83.430863;3.993801;0;65699.922188
