tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
949.00;E2D2_0;85.60;13.08;882.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.147 emissions_flow_0.147;67.00;flow_0.147;0;675.81;1.00;0.00;16.84;car;;0;0.00;179019.32;2222.56;14.38;71.66;3.16;0.00;57115.05
953.00;E2D2_0;85.60;12.17;888.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.148 emissions_flow_0.148;65.00;flow_0.148;0;675.81;0.97;0.00;12.75;car;;0;0.00;165559.28;1921.13;12.65;65.94;2.83;0.00;52820.97
956.00;E2D2_0;85.60;13.87;894.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.149 emissions_flow_0.149;62.00;flow_0.149;0;675.81;1.04;0.00;11.06;car;;0;0.00;177143.73;1952.99;13.02;70.40;2.96;0.00;56517.25
962.00;E2D2_0;85.60;13.13;900.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.150 emissions_flow_0.150;62.00;flow_0.150;0;675.81;0.96;0.00;9.90;car;;0;0.00;172061.46;1918.22;12.74;68.45;2.89;0.00;54895.66
967.00;E2D2_0;85.60;12.67;906.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.151 emissions_flow_0.151;61.00;flow_0.151;0;675.81;1.00;0.00;10.34;car;;0;0.00;177520.80;1850.82;12.58;70.10;2.89;0.00;56637.84
971.00;E2D2_0;85.60;13.82;912.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.152 emissions_flow_0.152;59.00;flow_0.152;0;675.81;1.07;0.00;9.65;car;;0;0.00;172394.40;1747.38;12.07;68.15;2.80;0.00;55002.31
981.00;E2D2_0;85.60;12.33;918.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.153 emissions_flow_0.153;63.00;flow_0.153;0;675.81;0.93;0.00;9.48;car;;0;0.00;166457.92;1812.06;12.21;65.93;2.74;0.00;53107.93
984.00;E2D2_0;85.60;13.71;924.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.154 emissions_flow_0.154;60.00;flow_0.154;0;675.81;1.06;0.00;10.23;car;;0;0.00;174930.32;1875.46;12.71;69.28;2.89;0.00;55811.19
991.00;E2D2_0;85.60;13.16;930.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.155 emissions_flow_0.155;61.00;flow_0.155;0;675.81;1.12;0.00;10.61;car;;0;0.00;178977.60;1940.68;13.18;71.31;3.00;0.00;57102.25
996.00;E2D2_0;85.60;13.35;936.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.156 emissions_flow_0.156;60.00;flow_0.156;0;675.81;1.18;0.00;10.22;car;;0;0.00;167852.94;1840.14;12.34;66.82;2.84;0.00;53553.03
1001.00;E2D2_0;85.60;13.45;942.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.157 emissions_flow_0.157;59.00;flow_0.157;0;675.81;1.08;0.00;9.55;car;;0;0.00;168484.39;1873.35;12.53;67.94;2.96;0.00;53754.22
