tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.183,car,1,1,180754.67911,0.2,0.0,0,10.96
flow_0.184,car,1,1,153860.712895,0.6,0.0,0,10.9
flow_0.185,car,1,1,170385.251068,0.0,0.0,0,10.76
flow_0.186,car,1,1,171044.391882,0.4,0.0,0,12.19
flow_0.187,car,1,1,163912.170658,0.8,0.0,0,10.29
flow_0.188,car,1,1,166126.341058,0.2,0.0,0,11.05
flow_0.189,car,1,1,176379.516325,0.6,0.0,0,10.31
flow_0.190,car,1,1,172882.570374,0.0,0.0,0,10.62
flow_0.191,car,1,1,173425.095949,0.4,0.0,0,10.6
flow_0.192,car,1,1,319153.717644,0.8,59.0,1,75.02
flow_0.193,car,1,1,173623.10591,0.2,0.0,0,10.59
flow_0.194,car,1,1,314337.992886,0.6,55.0,1,70.32
flow_0.195,car,1,1,326633.981187,0.0,55.0,1,71.67
flow_0.196,car,1,1,288234.255593,0.4,48.0,1,63.6
flow_0.197,car,1,1,303198.954988,0.8,47.0,1,64.96
flow_0.198,car,1,1,286949.464843,0.2,45.0,1,60.25
flow_0.199,car,1,1,302662.649127,0.6,45.0,1,61.1
flow_0.200,car,1,1,298674.45928,0.0,44.0,1,59.66
flow_0.201,car,1,1,288417.180846,0.4,40.0,1,56.81
flow_0.202,car,1,1,288562.927195,0.8,36.0,1,53.12
flow_0.203,car,1,1,274787.408676,0.2,36.0,1,51.52
flow_0.204,car,1,1,263524.282936,0.6,33.0,1,47.61
flow_0.205,car,1,1,258021.439177,0.0,28.0,1,44.69
flow_0.206,car,1,1,251792.360323,0.4,25.0,1,42.88
flow_0.207,car,1,1,247208.310615,0.8,23.0,1,40.13
flow_0.208,car,1,1,245036.546291,0.2,24.0,1,38.95
flow_0.209,car,1,1,243411.201812,0.6,20.0,1,34.01
flow_0.210,car,1,1,239244.545758,0.0,17.0,1,33.21
flow_0.211,car,1,1,204230.216935,0.4,10.0,1,24.47
flow_0.212,car,1,1,221382.671261,0.8,11.0,1,27.86
flow_0.213,car,1,1,213808.485253,0.2,6.0,1,23.93
flow_0.214,car,1,1,206942.73558,0.6,6.0,1,22.22
flow_0.215,car,1,1,203868.652867,0.0,4.0,1,21.08
flow_0.216,car,1,1,176934.004693,0.4,0.0,0,12.89
flow_0.217,car,1,1,180761.465334,0.8,0.0,0,13.02
flow_0.218,car,1,1,163404.295436,0.2,0.0,0,10.19
flow_0.219,car,1,1,163656.096657,0.6,0.0,0,10.09
flow_0.220,car,1,1,174321.021473,0.0,0.0,0,11.33
flow_0.221,car,1,1,174013.099844,0.4,0.0,0,9.97
flow_0.222,car,1,1,169955.560382,0.8,0.0,0,10.13
flow_0.223,car,1,1,171347.184707,0.2,0.0,0,9.56
flow_0.224,car,1,1,169374.84947,0.6,0.0,0,10.78
flow_0.225,car,1,1,169215.944918,0.0,0.0,0,10.95
flow_0.226,car,1,1,171605.790101,0.4,0.0,0,11.29
flow_0.227,car,1,1,174613.225627,0.8,0.0,0,11.83
flow_0.228,car,1,1,163007.518378,0.2,0.0,0,9.98
flow_0.229,car,1,1,323150.262889,0.6,55.0,1,71.92
flow_0.230,car,1,1,322543.589102,0.0,56.0,1,71.46
flow_0.231,car,1,1,299436.911396,0.4,50.0,1,65.65
flow_0.232,car,1,1,304601.524191,0.8,47.0,1,64.63
flow_0.233,car,1,1,301974.989769,0.2,47.0,1,63.43
flow_0.234,car,1,1,297116.64468,0.6,45.0,1,60.39
flow_0.235,car,1,1,290416.93546,0.0,45.0,1,59.15
flow_0.236,car,1,1,272113.947603,0.4,38.0,1,53.34
flow_0.237,car,1,1,281622.128128,0.8,35.0,1,52.34
flow_0.238,car,1,1,273136.110934,0.2,31.0,1,49.52
